caseid;weight;q3new_treat;q5b_treat;q12a_treat;q12_treat;q15_treat;Q1_risks_1;Q1_risks_2;Q1_risks_3;Q1_risks_4;Q1_risks_5;Q1_risks_6;Q1_risks_7;Q1_risks_8;Q1_risks_9;Q1_risks_10;Q1_risks_11;Q1_risks_12;Q1_risks_13;Q1_risks_14;Q1_risks_15;Q1_1;Q2_1;Q1_2;Q2_2;Q1_3;Q2_3;Q1_4;Q2_4;Q1_5;Q2_5;Q1_6;Q2_6;Q1_7;Q2_7;Q1_8;Q2_8;Q1_9;Q2_9;Q1_10;Q2_10;Q1_11;Q2_11;Q1_12;Q2_12;Q1_13;Q2_13;Q1_14;Q2_14;Q1_15;Q2_15;Q3new_1;Q3new_2;Q3new_3;Q3new_4;Q3new_5;Q3new_6;Q3new_7;Q3new_8;Q3new_9;Q3new_10;Q3new_11;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q5_tasks_1;Q5_tasks_2;Q5_tasks_3;Q5_tasks_4;Q5_tasks_5;Q5_tasks_6;Q5_tasks_7;Q5_tasks_8;Q5_tasks_9;Q5_tasks_10;Q5_tasks_11;Q5_tasks_12;Q5_tasks_13;Q5_tasks_14;Q5;Q5b;Q6_org_1;Q6_org_2;Q6_org_3;Q6_org_4;Q6_org_5;Q6_org_6;Q6_org_7;Q6_org_8;Q6_org_9;Q6_org_10;Q6_org_11;Q6_org_12;Q6_org_13;Q6_org_14;Q6_org_15;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q6_9;Q6_10;Q6_11;Q6_12;Q6_13;Q6_14;Q6_15;Q7_org_1;Q7_org_2;Q7_org_3;Q7_org_4;Q7_org_5;Q7_org_6;Q7_org_7;Q7_org_8;Q7_org_9;Q7_org_10;Q7_org_11;Q7_org_12;Q7_org_13;Q7_1;Q7_2;Q7_3;Q7_4;Q7_5;Q7_6;Q7_7;Q7_8;Q7_9;Q7_10;Q7_11;Q7_12;Q7_13;Q8_challenge_1;Q8_challenge_2;Q8_challenge_3;Q8_challenge_4;Q8_challenge_5;Q8_challenge_6;Q8_challenge_7;Q8_challenge_8;Q8_challenge_9;Q8_challenge_10;Q8_challenge_11;Q8_challenge_12;Q8_challenge_13;Q8_1;Q9_1;Q10_1;Q8_2;Q9_2;Q10_2;Q8_3;Q9_3;Q10_3;Q8_4;Q9_4;Q10_4;Q8_5;Q9_5;Q10_5;Q8_6;Q9_6;Q10_6;Q8_7;Q9_7;Q10_7;Q8_8;Q9_8;Q10_8;Q8_9;Q9_9;Q10_9;Q8_10;Q9_10;Q10_10;Q8_11;Q9_11;Q10_11;Q8_12;Q9_12;Q10_12;Q8_13;Q9_13;Q10_13;Q12a;Q12b;Q12;Q13;Q14_issue_1;Q14_issue_2;Q14_issue_3;Q14_issue_4;Q14_issue_5;Q14_1;Q14_2;Q14_3;Q14_4;Q14_5;Q15;Q16_1;Q16_2;Q16_3;Q17;Q18;birthyr;gender;race;educ;marstat;employ;faminc_new;pid3;pid7;inputstate;votereg;ideo5;newsint;religpew;pew_churatd;pew_bornagain;pew_religimp;pew_prayer;starttime;endtime
391344279;8,59459E+13;1;3;1;1;4;9;1;9;1;9;9;9;9;9;1;9;1;1;9;9;99;9;1;3;99;9;2;5;99;9;99;9;99;9;99;9;99;9;1;4;99;9;1;3;8;4;99;9;99;9;2;2;1;2;2;2;1;1;2;1;2;2;1;2;2;2;9;9;1;1;9;9;1;9;9;1;9;9;9;1;1;2;1;9;9;9;9;1;1;9;9;9;9;9;9;1;1;3;9;9;9;9;3;1;9;9;9;9;9;9;2;1;9;9;9;9;1;9;9;1;1;1;1;9;9;9;9;9;9;1;9;9;2;2;2;2;9;9;9;1;1;9;9;1;9;1;1;9;9;9;9;99;99;9;2;2;1;5;5;1;99;99;9;99;99;9;7;7;2;99;99;9;7;7;1;8;8;5;99;99;9;99;99;9;99;99;9;99;99;9;2;9;6;2;9;1;9;1;1;99;2;99;5;4;5;1;2;4;2;2;1996;2;3;3;5;8;10;1;1;48;1;1;1;10;6;2;4;7;14/06/2018;14/06/2018
391353582;1,49873E+14;3;2;1;4;2;9;9;1;9;9;1;1;9;9;9;1;9;1;9;9;99;9;99;9;6;4;99;9;99;9;7;4;5;4;99;9;99;9;99;9;7;5;99;9;5;4;99;9;99;9;1;2;1;1;1;2;1;1;2;1;2;2;2;2;2;1;1;9;1;9;9;9;1;9;9;9;9;9;1;1;5;1;9;1;9;1;9;1;9;1;1;9;9;9;9;9;9;9;3;9;4;9;4;9;3;4;9;9;9;9;9;9;9;9;1;1;1;1;9;9;9;1;9;9;9;9;9;4;4;4;4;9;9;9;4;9;9;9;9;9;9;9;1;9;9;1;9;1;1;1;9;99;99;9;99;99;9;99;99;9;99;99;9;7;6;1;99;99;9;99;99;9;7;7;1;99;99;9;7;7;1;6;7;1;7;6;1;99;99;9;3;9;6;5;1;1;9;1;9;1;1;99;1;99;4;6;7;7;5;5;1967;1;1;4;3;1;8;4;5;35;1;4;1;1;4;1;2;1;08/06/2018;08/06/2018
391370733;1,09616E+14;2;3;2;2;3;9;1;9;1;9;9;9;1;9;9;1;9;9;1;9;99;9;4;1;99;9;4;5;99;9;99;9;99;9;6;5;99;9;99;9;6;5;99;9;99;9;5;4;99;9;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;9;1;9;1;9;1;9;9;1;1;9;9;9;9;2;1;9;9;9;1;1;9;1;9;9;1;9;9;9;9;1;9;9;9;3;3;9;3;9;9;3;9;9;9;9;3;9;9;1;9;1;1;9;9;1;9;9;1;9;9;9;4;9;3;2;9;9;2;9;9;1;9;9;1;9;9;9;9;1;1;9;9;1;1;9;99;99;9;6;6;1;99;99;9;99;99;9;99;99;9;99;99;9;6;6;1;6;6;1;99;99;9;99;99;9;6;6;1;5;5;1;99;99;9;9;2;1;1;9;9;1;1;1;99;99;4;4;4;2;6;7;7;2;3;1953;2;1;4;3;6;7;2;7;31;1;5;1;1;1;1;1;1;07/06/2018;07/06/2018
391381517;8,28591E+14;4;3;1;4;2;1;9;9;1;9;9;9;1;1;9;9;9;9;9;1;3;3;99;9;99;9;4;4;99;9;99;9;99;9;5;5;3;3;99;9;99;9;99;9;99;9;99;9;4;3;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;9;1;9;9;9;1;1;9;9;9;9;1;9;3;1;9;9;1;9;9;1;9;1;1;9;9;1;9;9;9;9;9;3;9;9;4;9;3;3;9;9;3;9;9;9;9;9;1;9;1;9;1;9;9;1;1;9;9;9;9;4;9;3;9;3;9;9;3;3;9;9;9;1;9;9;9;1;1;9;1;9;9;1;9;99;99;9;6;6;1;99;99;9;99;99;9;99;99;9;6;6;1;7;7;1;99;99;9;6;6;1;99;99;9;99;99;9;6;6;1;99;99;9;2;9;3;2;1;9;1;9;1;4;99;4;99;5;4;5;6;7;4;4;1945;2;1;5;1;5;7;2;7;39;1;4;1;1;3;1;1;1;08/06/2018;08/06/2018
391403918;9,93039E+14;4;1;1;1;1;9;9;9;9;9;9;9;1;1;1;1;9;9;9;9;99;9;99;9;99;9;99;9;99;9;99;9;99;9;1;5;1;2;1;2;5;5;99;9;99;9;99;9;99;9;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;1;9;9;9;9;1;9;9;9;9;9;1;1;4;1;9;9;9;1;9;1;1;9;1;9;9;9;9;9;1;9;9;9;4;9;4;4;9;4;9;9;9;9;9;4;9;9;9;9;9;1;1;1;1;9;9;9;1;9;9;9;9;9;4;4;4;4;9;9;9;3;9;9;1;1;1;9;9;1;9;9;1;9;9;99;99;9;99;99;9;4;3;1;5;5;1;6;5;1;99;99;9;99;99;9;5;6;1;99;99;9;99;99;9;2;4;1;99;99;9;99;99;9;2;9;2;4;1;9;1;1;9;3;99;3;5;99;2;1;2;2;3;2;1954;2;1;5;1;2;10;2;7;4;1;4;1;2;5;2;1;1;07/06/2018;07/06/2018
391404061;8,39671E+14;4;2;1;4;3;9;9;1;9;9;9;9;1;9;9;1;9;9;9;1;99;9;99;9;4;3;99;9;99;9;99;9;99;9;5;4;99;9;99;9;7;4;99;9;99;9;99;9;7;3;1;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;9;9;1;9;9;9;9;9;1;9;1;9;1;1;5;1;1;1;1;9;1;9;9;9;9;9;9;9;1;9;9;4;4;4;9;4;9;9;9;9;9;9;9;4;9;9;9;9;1;9;1;9;9;1;9;1;9;9;1;9;9;4;9;4;9;9;4;9;4;9;9;4;1;1;1;1;1;9;9;9;9;9;9;9;9;6;5;1;6;5;1;6;5;1;6;5;1;5;4;1;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;1;9;2;3;1;9;1;9;1;4;99;3;99;2;4;6;5;4;5;5;1951;2;1;5;1;1;10;2;7;19;1;5;1;1;2;1;1;1;08/06/2018;08/06/2018
391412177;4,7955E+14;4;3;1;1;4;9;1;9;9;1;9;9;1;9;9;9;1;1;9;9;99;9;6;4;99;9;99;9;7;5;99;9;99;9;7;5;99;9;99;9;99;9;5;4;7;5;99;9;99;9;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;9;1;1;9;1;9;9;9;1;9;9;9;9;1;3;1;9;1;9;9;1;9;9;9;1;9;1;1;9;9;9;9;2;9;9;3;9;9;9;2;9;2;2;9;9;9;1;9;9;1;9;1;1;9;1;9;9;9;9;3;9;9;3;9;2;2;9;2;9;9;9;9;9;9;9;9;1;9;9;9;1;1;1;9;1;99;99;9;99;99;9;99;99;9;99;99;9;6;6;1;99;99;9;99;99;9;99;99;9;7;7;1;8;8;1;7;7;1;99;99;9;6;6;1;5;9;3;2;9;1;1;9;1;99;3;4;99;4;5;6;7;7;3;2;1940;1;1;2;1;5;7;3;4;48;1;3;1;11;6;2;3;6;08/06/2018;08/06/2018
391412638;5,7754E+14;3;3;2;1;2;9;1;1;9;9;9;1;9;9;9;9;9;9;1;1;99;9;3;4;3;4;99;9;99;9;99;9;4;3;99;9;99;9;99;9;99;9;99;9;99;9;4;3;2;4;1;1;2;1;2;2;2;2;2;2;2;1;1;2;1;2;9;1;9;9;1;1;9;9;1;9;9;9;1;9;1;3;9;1;9;9;1;1;1;9;9;9;9;1;9;9;9;9;2;9;9;4;3;2;9;9;9;9;2;9;9;9;1;9;9;1;9;1;9;9;9;9;9;1;1;4;9;9;3;9;2;9;9;9;9;9;2;2;9;1;9;9;1;9;9;9;1;1;1;9;9;99;99;9;3;3;3;99;99;9;99;99;9;5;5;2;99;99;9;99;99;9;99;99;9;2;3;3;4;4;2;4;4;3;99;99;9;99;99;9;9;2;3;3;1;9;9;1;1;3;99;99;4;2;5;3;5;7;2;2;1974;1;1;5;1;1;10;3;4;53;1;2;2;10;4;2;3;6;08/06/2018;08/06/2018
391415513;1,19216E+14;1;2;1;2;3;1;1;9;9;1;1;9;9;9;9;9;9;1;9;9;4;2;4;3;99;9;99;9;4;3;4;3;99;9;99;9;99;9;99;9;99;9;99;9;5;4;99;9;99;9;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;1;1;9;9;9;1;9;1;9;9;1;9;1;9;9;3;1;9;1;9;9;1;9;9;9;1;1;9;9;9;1;9;9;3;9;9;4;9;9;9;4;4;9;9;9;5;9;9;9;1;9;1;9;1;9;9;9;1;1;9;9;9;3;9;3;9;4;9;9;9;4;5;9;9;9;9;9;1;1;9;9;1;1;1;9;9;99;99;9;99;99;9;99;99;9;99;99;9;3;3;1;5;5;1;99;99;9;99;99;9;5;5;1;5;5;1;4;4;1;99;99;9;99;99;9;2;9;2;1;9;9;1;1;1;99;99;4;4;4;5;3;4;5;4;4;1947;1;1;2;1;5;97;1;1;21;1;3;2;1;4;1;1;3;08/06/2018;08/06/2018
391418203;9,26151E+14;3;1;2;1;1;1;9;9;9;1;9;9;1;1;9;9;9;9;1;9;8;5;99;9;99;9;99;9;7;5;99;9;99;9;7;4;7;5;99;9;99;9;99;9;99;9;7;5;99;9;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;9;9;9;9;9;9;1;1;1;9;1;9;9;1;6;5;9;9;9;1;1;9;9;1;9;9;1;9;9;9;1;9;9;9;2;2;9;9;3;9;9;4;9;9;9;4;1;1;9;9;1;9;1;1;9;9;9;9;9;5;5;9;9;5;9;3;3;9;9;9;9;9;9;9;9;9;9;9;1;1;1;9;1;1;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;6;7;1;6;6;2;6;6;1;99;99;9;6;6;2;6;6;1;99;99;9;9;5;2;3;1;1;1;9;9;4;4;4;99;99;4;8;8;8;6;5;1938;2;4;2;1;5;97;3;4;25;1;6;3;11;6;2;3;2;08/06/2018;08/06/2018
391428218;8,14876E+14;3;1;1;3;4;1;9;9;9;9;9;9;1;9;1;9;9;1;1;9;4;4;99;9;99;9;99;9;99;9;99;9;99;9;6;5;99;9;3;2;99;9;99;9;5;5;4;4;99;9;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;9;9;1;9;9;1;9;1;1;9;1;9;9;9;5;5;1;1;9;9;1;9;9;9;9;1;9;9;9;1;9;1;2;9;9;2;9;9;9;9;1;9;9;9;3;9;1;9;1;9;9;9;9;9;1;1;1;9;9;2;9;1;9;9;9;9;9;3;3;2;9;9;9;9;9;1;1;9;9;1;1;9;9;1;9;99;99;9;99;99;9;99;99;9;4;5;2;4;2;2;99;99;9;99;99;9;4;6;3;5;3;2;99;99;9;99;99;9;3;5;4;99;99;9;4;9;4;3;1;1;9;1;9;1;3;99;5;99;3;4;6;5;3;3;1999;1;4;3;5;1;6;3;3;33;2;2;1;12;4;2;3;6;14/06/2018;14/06/2018
391445885;9,59098E+14;3;1;2;1;3;9;1;1;9;9;9;1;9;9;9;1;9;9;9;1;99;9;2;3;3;3;99;9;99;9;99;9;5;4;99;9;99;9;99;9;5;4;99;9;99;9;99;9;4;3;1;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;9;1;9;1;9;1;9;1;9;9;9;1;9;9;2;1;9;9;9;9;1;9;9;9;1;9;1;9;1;9;1;9;9;9;9;2;9;9;9;2;9;2;9;2;9;2;9;9;9;9;1;1;1;1;9;9;9;1;9;9;9;9;9;2;2;2;2;9;9;9;2;9;1;9;1;9;9;1;9;9;1;9;9;1;9;3;3;1;99;99;9;5;5;1;99;99;9;99;99;9;5;5;1;99;99;9;99;99;9;5;5;1;99;99;9;99;99;9;6;6;1;99;99;9;9;2;2;2;9;1;9;1;1;99;4;99;3;3;4;5;6;7;2;2;1975;1;1;5;1;1;11;1;1;42;1;2;1;2;4;2;2;6;08/06/2018;08/06/2018
